,time,SBI_index,lower_level_ws (10m m/s),lower_level_angle (10m degrees),upper_level_ws (500-2000m),upper_level_angle (500-2000m)
0,2012-01-16 05:00:00,0.63730425,4.1514354,140.00005,1.557064,238.44936
1,2012-01-16 06:00:00,0.64271456,3.0335717,140.00005,1.3066477,232.05048
2,2012-01-16 07:00:00,0.6420482,2.0452695,140.00006,1.8452946,244.5539
3,2012-01-17 09:00:00,0.28499317,5.216792,162.99988,4.331855,255.26045
4,2012-01-17 10:00:00,0.24718122,6.1099443,165.66699,4.72274,257.64728
5,2012-01-17 18:00:00,0.4942296,7.314753,150.34886,2.95243,273.84464
6,2012-01-17 19:00:00,0.75132465,9.877492,131.27982,4.7352505,235.8602
7,2012-01-17 20:00:00,0.7284628,9.883787,133.23282,2.9004147,275.51605
8,2012-01-17 21:00:00,0.66588753,9.569926,138.16608,4.6038184,230.25856
9,2012-01-17 22:00:00,0.57183784,9.290631,145.11855,1.3657898,237.16614
10,2012-01-17 23:00:00,0.41340455,9.049099,155.24872,2.5992873,247.44304
11,2012-01-18 04:00:00,0.5787241,7.5876584,131.35043,3.679852,222.69534
12,2012-01-18 21:00:00,0.7628101,1.2535644,99.13342,0.72392136,215.61371
13,2012-01-18 22:00:00,0.93597263,2.6862302,70.90662,1.004141,332.72626
14,2012-01-18 23:00:00,0.9389038,2.0829701,69.99992,0.30069873,262.52533
15,2012-01-19 16:00:00,-0.25222293,3.8556805,121.35055,1.5010207,211.51535
16,2012-01-24 07:00:00,0.9434906,5.355323,92.13107,7.626242,359.75986
17,2012-01-26 10:00:00,0.76649415,3.1976438,123.999985,3.0680852,354.6564
18,2012-01-26 11:00:00,0.8289924,2.902696,123.99997,3.1784995,347.99274
19,2012-01-26 12:00:00,0.82874507,2.6462753,123.999985,4.020276,354.29205
20,2012-01-26 13:00:00,0.8265431,2.3424275,124.1738,3.4229455,316.784
21,2012-01-26 14:00:00,0.79658073,1.0470977,126.99129,1.8515453,325.91415
22,2012-01-26 15:00:00,0.28602898,1.1106746,162.98523,1.2284943,311.78192
23,2012-01-26 17:00:00,0.7236909,1.2223996,133.63069,2.1977656,269.66592
24,2012-02-12 15:00:00,0.27610403,1.726636,16.48413,6.4290953,202.99998
25,2012-02-12 17:00:00,0.86966175,2.4160984,60.66494,7.2659717,215.60176
26,2012-02-12 18:00:00,0.8108287,2.9081068,124.80514,7.2231374,223.28206
27,2012-02-12 19:00:00,0.6809645,3.8083832,131.85886,6.179158,223.47725
28,2012-02-12 20:00:00,0.7301493,3.9398298,129.42513,5.2059975,227.41121
29,2012-02-12 21:00:00,0.86344135,3.472238,114.57128,3.8136518,225.13683
30,2012-02-12 22:00:00,0.99701726,3.2957394,85.881516,2.4700563,228.21075
31,2012-02-12 23:00:00,0.99129707,3.1708972,82.44551,1.5968995,187.05411
32,2012-02-13 05:00:00,0.13760832,2.8496275,124.40971,0.7455451,356.07843
33,2012-02-13 06:00:00,0.92000854,2.8974607,112.98223,3.0415773,355.77747
34,2012-02-13 07:00:00,0.98128337,2.9190986,93.799736,2.944497,330.1662
35,2012-02-13 08:00:00,0.99226856,2.558061,90.0,2.3991354,320.14105
36,2012-02-13 09:00:00,0.9910595,2.6877115,90.0,2.6462946,345.53204
37,2012-02-13 10:00:00,0.9968979,3.4125626,91.25316,4.028265,352.8589
38,2012-02-13 11:00:00,0.6648665,4.137952,136.0002,3.596451,347.1222
39,2012-02-13 12:00:00,0.63651067,4.9821854,136.0002,3.4745464,353.28723
40,2012-02-13 13:00:00,0.6610245,5.623323,136.74812,2.9888177,354.71368
41,2012-02-13 20:00:00,0.5584714,5.386989,99.05226,5.589893,359.76392
42,2012-02-13 21:00:00,0.64323676,5.0986795,139.95543,5.8008265,357.6332
43,2012-02-13 22:00:00,0.06099994,4.826601,168.68465,5.455852,359.99634
44,2012-02-13 23:00:00,0.1675815,4.365295,169.9999,6.162108,356.0179
45,2012-02-14 00:00:00,0.17364885,3.871866,169.99988,7.6559367,356.28717
46,2012-02-14 01:00:00,0.34564248,3.5226521,159.67348,7.88021,352.3396
47,2012-02-14 02:00:00,0.514087,3.5054991,148.99983,7.392569,354.19342
48,2012-02-14 03:00:00,0.51455003,3.5277598,148.99983,7.009576,354.1762
49,2012-02-14 04:00:00,0.5000186,3.5624382,149.48318,6.289856,354.44073
50,2012-02-14 05:00:00,0.35834944,3.601483,158.64227,5.8688498,357.3125
51,2012-02-14 06:00:00,0.044138383,3.6658323,168.65582,6.362036,359.87772
52,2012-02-14 07:00:00,0.067294285,3.7508748,176.13342,5.9924088,356.0692
53,2012-02-16 07:00:00,0.9846566,3.175499,99.9998,8.073884,336.56604
54,2012-02-16 08:00:00,0.9848004,3.1746814,99.9998,7.4137654,336.5525
55,2012-02-16 09:00:00,0.9822448,3.22547,99.9998,6.535976,342.90384
56,2012-02-16 10:00:00,0.9850621,3.3244874,98.88221,7.4180913,354.2032
57,2012-02-17 02:00:00,0.9952715,5.5556493,95.45052,6.2771873,357.11154
58,2012-02-17 03:00:00,0.9236094,6.145481,111.709595,6.345932,342.08356
59,2012-02-17 04:00:00,0.8595995,6.768872,119.00799,6.436592,343.17548
60,2012-02-17 05:00:00,0.8483686,6.9526143,119.99993,5.560752,350.06314
61,2012-02-17 06:00:00,0.8580118,7.0476947,119.99993,5.019826,350.12927
62,2012-02-17 07:00:00,0.8615653,7.158108,119.99993,4.260548,356.65015
63,2012-02-17 08:00:00,0.9388192,6.6397285,109.999954,4.17885,352.78867
64,2012-02-17 09:00:00,0.9393681,5.3978753,109.999954,4.4436703,359.08868
65,2012-02-17 10:00:00,0.78810453,4.2673674,110.01274,4.787068,352.2688
66,2012-02-17 11:00:00,0.92112166,4.6710386,111.920105,4.600531,354.63275
67,2012-02-17 12:00:00,-0.06580644,5.836186,169.25787,4.9825735,359.8926
68,2012-02-18 05:00:00,0.06746192,5.063085,176.13173,5.24858,343.56042
69,2012-02-18 06:00:00,0.9896953,5.4077406,86.63407,6.613375,354.72986
70,2012-02-18 07:00:00,0.9640371,5.8111644,80.7364,7.543752,348.48505
71,2012-02-18 08:00:00,0.99318546,5.670805,86.87081,7.794503,354.93872
72,2012-02-18 09:00:00,0.97789454,5.515137,101.070595,6.4929476,356.38437
73,2012-02-18 10:00:00,0.86537606,5.5918527,120.073845,5.928429,350.34247
74,2012-02-18 11:00:00,0.74641925,6.4346786,131.42917,6.237933,355.5061
75,2012-02-18 12:00:00,0.628387,7.4854064,140.38559,6.1861815,357.91434
76,2012-02-18 13:00:00,0.56619364,8.306753,145.17259,5.387316,356.45728
77,2012-02-18 14:00:00,-0.51206225,8.101056,138.96268,7.159078,359.12714
78,2012-02-18 15:00:00,0.77430564,7.7778716,114.70094,7.029329,356.98233
79,2012-02-19 19:00:00,0.747346,3.276225,49.613144,5.2032156,317.7721
80,2012-02-19 20:00:00,0.95921534,3.920032,73.609604,4.592437,316.424
81,2012-02-19 21:00:00,0.90157324,4.8031545,115.62815,3.7771797,345.88342
82,2012-02-19 22:00:00,0.6024315,5.5747795,142.94588,5.0974865,329.25043
83,2012-02-19 23:00:00,0.45417053,5.473525,152.98329,2.490466,351.8141
84,2012-02-20 00:00:00,0.33547345,5.183412,160.1544,6.292365,334.02515
85,2012-02-20 01:00:00,0.27607635,4.937501,163.9678,5.915032,356.56125
86,2012-02-20 02:00:00,0.4718131,4.8617964,151.72011,4.514291,350.47852
87,2012-02-20 03:00:00,0.8587405,4.8206763,119.08375,4.5483413,349.16263
88,2012-02-20 04:00:00,0.98199946,4.782923,82.55034,5.8745127,350.37598
89,2012-02-20 16:00:00,0.1515476,2.8452325,49.610535,6.0264587,318.94562
90,2012-02-20 17:00:00,-0.32505846,2.9163013,48.474247,5.9970317,318.45877
91,2012-02-20 21:00:00,0.6826964,4.4851274,64.53343,6.841232,331.78467
92,2012-02-20 22:00:00,0.9803853,5.2751803,88.12768,3.7112298,356.288
93,2012-02-20 23:00:00,0.97892815,5.8515215,79.878,7.2523546,347.73676
94,2012-02-21 21:00:00,0.98272824,4.6542826,79.636444,3.058287,347.64517
95,2012-02-21 22:00:00,0.9753482,5.0842686,99.519615,5.363179,355.06653
96,2012-02-21 23:00:00,0.97623056,5.2009935,102.504,5.618184,357.91238
97,2012-02-22 00:00:00,0.9475141,5.309736,106.05806,7.073231,355.3407
98,2012-02-22 01:00:00,0.92364323,5.38405,112.11236,7.081136,354.8664
99,2012-02-22 02:00:00,0.55070645,5.3132596,144.85277,6.632208,355.97308
100,2012-02-22 23:00:00,0.90997785,5.1199822,66.030685,5.537847,334.08633
101,2012-02-23 08:00:00,0.82778734,5.307131,123.24305,11.426203,353.65176
102,2012-02-23 09:00:00,0.4159117,5.2237005,155.37929,8.410063,354.2867
103,2012-02-23 10:00:00,0.35027793,5.1672125,159.06747,7.9074354,358.11517
104,2012-02-23 11:00:00,0.4924275,5.0963774,150.48355,7.949561,355.6479
105,2012-02-23 12:00:00,0.74143714,5.0525937,132.13412,10.295827,356.1358
106,2012-02-23 13:00:00,0.97295517,5.052382,101.759285,9.269249,357.2688
107,2012-02-24 09:00:00,0.83593017,3.5169506,123.28087,4.022045,359.84158
108,2012-02-24 10:00:00,0.6906602,2.986744,136.29703,3.4001486,353.96872
109,2012-02-26 04:00:00,0.9986022,5.4104037,88.78801,6.3594065,356.8011
110,2012-02-26 05:00:00,0.9997094,5.6836233,88.99994,6.837529,356.9479
111,2012-02-26 06:00:00,0.997783,6.06148,88.99993,6.7272677,357.0288
112,2012-02-26 07:00:00,0.99734575,6.4779396,88.9758,6.7374554,357.01105
113,2012-02-26 08:00:00,0.99295765,6.3286867,84.09449,7.9386325,352.0
114,2012-02-28 03:00:00,0.88388383,2.8376534,114.598495,1.461304,357.6671
115,2012-02-28 04:00:00,0.20315957,3.055799,168.19199,1.9251369,354.59525
116,2012-02-28 15:00:00,-0.0005395398,1.2227745,1.6652985,0.5169099,239.80333
117,2012-02-28 16:00:00,-0.17873849,1.7717186,19.420586,0.2813216,239.25804
118,2012-02-28 18:00:00,0.08151664,2.6611955,22.216377,0.17590877,234.9858
119,2012-02-28 19:00:00,0.40863898,3.3614895,27.967453,0.5538749,227.32985
120,2012-02-28 20:00:00,0.69858384,5.948346,52.32147,0.73717195,270.5099
121,2012-02-28 21:00:00,0.446814,9.113367,64.2338,1.2348125,293.44763
122,2012-02-28 22:00:00,0.9125092,11.762919,69.76237,1.8515797,300.2627
123,2012-02-28 23:00:00,0.6669819,8.414273,79.458496,1.538831,348.24826
124,2012-02-29 09:00:00,0.05676218,0.5339875,176.74588,2.8061657,312.75446
125,2012-02-29 10:00:00,0.8795944,0.6722306,61.620102,3.2442036,316.9959
126,2012-02-29 11:00:00,0.7972532,1.0232671,53.431545,3.2532396,289.859
127,2012-02-29 12:00:00,0.777052,1.4389881,50.99251,3.7553282,281.2635
128,2012-02-29 13:00:00,0.75750476,1.8338708,49.34537,2.906599,273.38263
129,2012-02-29 14:00:00,0.70325047,2.3872886,45.020874,2.1202853,243.76253
130,2012-02-29 15:00:00,0.66102725,3.0580685,41.851357,2.6100824,265.6975
131,2012-02-29 16:00:00,0.6431038,3.6697016,40.11898,2.3819354,276.73053
132,2012-02-29 17:00:00,0.64250267,4.301598,40.000057,1.0851293,295.36847
133,2012-02-29 18:00:00,0.64277464,5.017924,40.000023,2.3800685,276.54227
134,2012-02-29 19:00:00,0.6610381,5.569654,41.62424,1.0249605,296.9242
135,2012-02-29 20:00:00,0.8159111,5.6097426,54.68225,2.0401907,291.2417
136,2012-02-29 21:00:00,0.9304647,5.658404,68.55337,1.3895104,317.69354
137,2012-02-29 22:00:00,0.9698741,5.754261,79.73169,2.6378994,322.7331
138,2012-02-29 23:00:00,0.99545085,6.173511,85.135635,2.6087756,340.49023
139,2012-03-01 00:00:00,0.9993075,7.04531,91.31985,3.084409,346.68884
140,2012-03-01 01:00:00,0.98857576,7.711936,98.284065,3.8440235,353.63754
141,2012-03-01 02:00:00,0.9870551,7.2483554,99.18943,4.128189,348.2895
142,2012-03-01 03:00:00,0.98608065,6.58901,99.52298,4.5588365,348.62125
143,2012-03-01 04:00:00,0.97882,6.0870767,99.01214,5.5481763,335.69467
144,2012-03-01 05:00:00,0.99935013,6.18368,90.88851,5.0210505,339.971
145,2012-03-01 06:00:00,0.9903355,6.3486342,82.04438,5.8949227,349.99997
146,2012-03-01 08:00:00,-0.026422082,6.2217054,77.97842,6.0842633,347.54083
147,2012-03-01 09:00:00,0.9984201,5.816951,86.89946,5.821787,348.59613
148,2012-03-01 10:00:00,0.997249,5.572346,94.180214,5.573489,349.56494
149,2012-03-04 12:00:00,0.95877296,3.1452603,106.41856,4.6773252,305.2375
150,2012-03-04 13:00:00,0.8412463,2.7870882,58.00243,5.290084,294.67804
151,2012-03-05 02:00:00,0.9099703,5.981591,109.567726,11.972619,358.94525
152,2012-03-05 03:00:00,0.9945961,8.491849,93.040306,11.371227,354.81122
153,2012-03-05 04:00:00,0.87900347,10.739763,89.305176,11.371056,357.76666
154,2012-03-05 05:00:00,0.997699,9.948571,89.46443,10.914418,357.49622
155,2012-03-05 06:00:00,0.999324,8.589474,90.41016,10.09902,358.33868
156,2012-03-05 07:00:00,0.99515563,7.492624,91.700195,9.638256,359.7587
157,2012-03-05 08:00:00,0.94206077,6.5557785,90.257324,8.135507,358.56396
158,2012-03-05 09:00:00,0.976128,5.7324276,87.5227,7.297258,355.702
159,2012-03-05 10:00:00,0.628604,5.3047476,79.03669,5.637152,347.8772
160,2012-03-06 06:00:00,0.71230054,6.2801414,79.99994,4.3143253,348.72678
161,2012-03-06 07:00:00,0.87922096,6.4845114,79.7587,3.7961035,347.25748
162,2012-03-06 16:00:00,0.9929793,3.5020633,86.61356,3.5677724,341.90894
163,2012-03-06 17:00:00,0.8111735,2.7434886,125.508026,4.753625,349.40646
164,2012-03-06 18:00:00,0.14672826,1.8070554,171.33195,3.656997,357.84552
165,2012-03-06 20:00:00,0.2655231,1.7766234,162.01453,3.9167004,355.11658
166,2012-03-06 21:00:00,0.7492866,2.899236,120.96491,4.253369,358.02136
167,2012-03-08 01:00:00,0.45814744,4.65032,150.69789,10.304812,356.19
168,2012-03-08 02:00:00,0.85395235,4.360358,120.70697,9.423881,351.08905
169,2012-03-08 06:00:00,0.9993187,5.635873,87.91557,7.7837725,355.88644
170,2012-03-08 07:00:00,0.5372366,6.107061,147.49277,8.978691,358.9338
171,2012-03-08 08:00:00,0.043474305,6.4422073,177.50807,10.612439,357.49387
172,2012-03-08 17:00:00,0.9944712,7.176335,94.18434,10.984149,355.94153
173,2012-03-09 07:00:00,0.35139218,7.9980373,159.19148,10.664001,339.04404
174,2012-03-09 08:00:00,0.37441435,7.9583287,157.97298,10.575238,350.48138
175,2012-03-09 09:00:00,0.20198885,7.8215837,168.34106,11.489344,354.59332
176,2012-03-10 04:00:00,-0.2676962,7.643757,138.23895,9.856609,357.9225
177,2012-03-11 14:00:00,0.40415326,4.349109,156.16061,5.7203507,355.0
178,2012-03-12 10:00:00,0.043576468,3.382955,177.5024,7.337249,344.92865
179,2012-03-12 11:00:00,0.36180314,3.7532213,158.78824,5.5004334,345.063
180,2012-03-12 12:00:00,0.93198276,4.583897,109.802376,5.297174,358.77988
181,2012-03-12 23:00:00,0.98086745,3.7645295,85.744194,6.0771947,347.24414
182,2012-03-13 00:00:00,0.71901566,3.8318722,133.93349,5.0477877,357.85974
183,2012-03-13 01:00:00,0.10708677,3.8835306,173.85048,3.9736953,353.82428
184,2012-03-13 02:00:00,0.78462374,3.9296296,128.31332,6.3625865,339.7246
185,2012-03-13 03:00:00,0.98060244,4.066493,87.021614,6.7336025,342.22943
186,2012-03-13 04:00:00,0.95359206,4.2722197,72.89812,7.4080095,340.79498
187,2012-03-13 05:00:00,0.98086673,4.5219407,78.77518,7.187548,346.74268
188,2012-03-13 06:00:00,0.98407626,4.8642993,84.58838,5.435626,352.7049
189,2012-03-13 08:00:00,0.8896507,4.5247693,91.23995,6.0938787,359.6783
190,2012-03-13 09:00:00,0.92278415,4.0934978,101.25497,7.095345,356.99878
191,2012-03-13 10:00:00,0.78115696,3.8589902,128.14723,8.153483,358.29688
192,2012-03-15 04:00:00,0.6008437,3.2378151,143.05704,6.598106,354.49716
193,2012-03-15 05:00:00,0.588629,3.2136502,143.94022,7.075372,355.35577
194,2012-03-15 06:00:00,0.4778825,3.4226413,151.35422,6.4926734,344.0
195,2012-03-15 07:00:00,0.35050118,3.8314755,159.47922,6.4818707,345.74622
196,2012-03-15 08:00:00,0.059654776,3.9571118,176.57138,6.487114,350.3591
197,2012-03-15 19:00:00,0.6278009,1.2303008,39.028004,2.104209,307.07028
198,2012-03-15 20:00:00,0.7009295,0.93455124,44.904682,2.4919097,312.75018
199,2012-03-15 21:00:00,0.80142945,0.80864614,53.712334,3.0797672,315.28656
200,2012-03-15 22:00:00,0.91165173,0.93645906,65.802826,3.3325598,314.88513
201,2012-03-15 23:00:00,0.94491005,1.4560107,76.52844,3.4779444,331.68796
202,2012-03-16 00:00:00,0.99897057,2.0837984,91.63591,3.8698218,315.58295
203,2012-03-16 01:00:00,0.936154,2.716957,109.84259,2.519484,327.44412
204,2012-03-16 02:00:00,0.786513,3.352445,128.08006,2.58566,339.45578
205,2012-03-16 03:00:00,0.596503,3.989149,143.25197,2.756022,342.02405
206,2012-03-16 04:00:00,0.47185373,4.5443764,151.8003,2.3006005,356.98718
207,2012-03-16 05:00:00,0.6461717,4.794086,139.61093,3.166456,351.10147
208,2012-03-16 06:00:00,0.7593027,5.038052,130.55838,2.6397934,329.44202
209,2012-03-16 07:00:00,0.8135901,5.206815,125.54521,3.7302835,330.6908
210,2012-03-16 08:00:00,0.88568276,4.854449,117.62887,3.711687,335.30252
211,2012-03-16 09:00:00,0.94501704,4.405623,109.02772,3.9665928,351.88654
212,2012-03-16 10:00:00,0.97891647,4.000656,101.66549,4.9332933,344.46777
213,2012-03-16 11:00:00,0.99979925,3.4085753,89.61653,3.8774412,332.46725
214,2012-03-16 12:00:00,0.94990784,2.8387318,78.89088,4.7676277,346.602
215,2012-03-16 13:00:00,0.9502945,2.5531285,71.99759,5.8048925,321.07294
216,2012-03-16 14:00:00,0.94455314,2.780183,71.118256,5.6812468,314.0089
217,2012-03-16 15:00:00,0.9437449,3.1666903,71.3556,3.912315,332.9477
218,2012-03-16 16:00:00,0.9496395,3.5667765,71.74792,3.7746415,339.7226
219,2012-03-16 17:00:00,0.9528855,3.9763453,72.52048,4.3336053,327.96307
220,2012-03-16 18:00:00,0.9511744,4.3927455,74.74357,3.375336,342.87616
221,2012-03-16 19:00:00,0.93623954,4.6097817,70.168686,2.8644245,338.23065
222,2012-04-09 01:00:00,0.61776114,1.7417527,38.292477,2.9578836,193.23837
223,2012-04-09 02:00:00,0.64262515,1.5702436,40.000042,2.8424094,226.26071
224,2012-04-09 03:00:00,0.64264226,1.3882412,40.000053,2.1363227,194.88864
225,2012-04-09 04:00:00,0.64268947,1.206239,40.000046,2.1567287,226.2657
226,2012-04-09 05:00:00,0.6421473,1.024237,40.000053,2.9041061,301.72614
227,2012-04-09 06:00:00,0.642474,0.8422364,40.000042,1.508583,251.44724
228,2012-04-09 07:00:00,0.64247686,0.66023755,40.000053,3.2747438,307.9958
229,2012-04-09 08:00:00,0.6407844,0.47824287,40.000042,2.8204112,219.92107
230,2012-04-09 09:00:00,0.64221823,0.29625955,40.000053,3.0926247,308.00677
231,2012-04-09 10:00:00,0.6411691,0.11434273,40.000053,1.591351,301.61047
232,2012-04-09 11:00:00,0.6377091,0.06804246,40.000042,2.9720762,257.57336
233,2012-04-09 12:00:00,0.6378827,0.24987252,40.000042,2.659618,270.1419
234,2012-04-09 13:00:00,0.6460809,0.39459708,40.2819,3.347612,276.7925
235,2012-04-09 14:00:00,0.6783188,0.44273004,42.712475,2.98938,285.54272
236,2012-04-09 15:00:00,0.7185626,0.49250463,45.941093,3.605515,282.47656
237,2012-04-09 16:00:00,0.7502939,0.54559445,49.644325,2.7661035,280.0856
238,2012-04-09 17:00:00,0.80549675,0.60112166,53.89641,3.3375971,290.52307
239,2012-04-09 18:00:00,0.8464808,0.65846986,58.77059,2.9276993,314.02673
240,2012-04-09 19:00:00,0.8944275,0.71720237,64.32662,2.998726,307.28186
241,2012-04-09 20:00:00,0.94305986,0.77700543,70.590675,2.9988806,288.2746
242,2012-04-09 21:00:00,0.9762431,0.8376498,77.52904,3.3552642,320.37915
243,2012-04-09 22:00:00,0.9930735,0.8989651,85.02353,3.392082,315.20938
244,2012-04-09 23:00:00,0.9986657,0.960823,92.86378,5.026149,297.98343
245,2012-04-10 00:00:00,0.9780429,1.0231249,100.77102,3.746666,324.6593
246,2012-04-10 01:00:00,0.9482705,1.083135,108.162476,4.646978,300.6655
247,2012-04-10 02:00:00,0.85440487,0.9139028,121.30468,4.959091,301.30988
248,2012-04-10 03:00:00,0.5154478,0.5705385,148.96297,4.563237,297.52338
249,2012-04-10 04:00:00,0.044007543,0.22772922,177.47717,4.162335,294.62408
250,2012-04-13 17:00:00,0.99029,3.6353114,84.15894,0.6907342,352.21887
251,2012-04-13 18:00:00,-0.64527535,3.711385,85.91338,0.64837396,345.32047
252,2012-04-13 19:00:00,0.9407646,3.791957,88.12866,0.61662096,337.58813
253,2012-04-13 20:00:00,0.49933058,3.876747,91.003586,0.5268474,345.35394
254,2012-04-13 21:00:00,0.023886083,3.9654837,94.86062,0.48956975,332.95612
255,2012-04-13 22:00:00,0.98359203,4.057908,100.24487,0.5992193,311.69153
256,2012-04-13 23:00:00,0.31920686,4.1537757,108.10289,0.4943828,305.72415
257,2012-04-14 00:00:00,0.86319464,4.252852,120.018036,0.535761,293.65625
258,2012-04-14 01:00:00,-0.39342397,4.3081555,132.6704,0.69295555,289.67307
259,2012-04-14 02:00:00,0.8105966,4.033168,121.379135,0.7050481,289.13205
260,2012-04-14 03:00:00,0.9338031,3.6890924,99.153885,0.06551157,354.2215
261,2012-04-14 04:00:00,0.9144155,3.3481493,72.81472,0.7196474,290.22003
262,2012-04-14 05:00:00,0.76952755,3.011403,51.238007,0.5225583,281.66562
263,2012-04-14 06:00:00,0.6017649,2.6804338,37.11319,0.6738338,192.0539
264,2012-04-14 07:00:00,0.4683129,2.3576775,28.171158,0.64268094,220.8644
265,2012-04-14 08:00:00,0.37894773,2.0470223,22.268951,0.33584794,183.4255
266,2012-04-14 09:00:00,0.3116909,1.7549063,18.162079,0.6560814,235.8513
267,2012-04-14 10:00:00,0.26036114,1.4922566,15.167809,0.69280386,270.66522
268,2012-04-14 11:00:00,0.22259721,1.2773811,12.899361,1.1098607,255.80707
269,2012-04-14 12:00:00,0.19296733,1.1376791,11.12648,1.9217025,279.0819
270,2012-04-14 13:00:00,0.15336743,1.1156901,8.884644,1.7597268,276.96747
271,2012-04-17 01:00:00,0.009778936,2.9197526,179.32866,2.8228457,353.62888
272,2012-04-17 02:00:00,-0.077562585,2.9359326,167.33304,2.9692485,355.54855
273,2012-04-17 03:00:00,-0.38594407,2.9763,150.02675,3.1367438,358.98907
274,2012-04-17 04:00:00,-0.24210429,3.02169,131.19263,3.3617392,359.55975
275,2012-04-17 18:00:00,0.93683064,3.293351,75.78711,3.9473062,343.4918
276,2012-04-17 19:00:00,0.87293947,3.2319286,77.3002,4.4133244,345.72754
277,2012-04-17 20:00:00,0.97679275,3.1705115,78.97273,4.252807,346.83896
278,2012-04-17 21:00:00,0.9646243,3.1090984,80.82796,4.4887795,342.295
279,2012-04-17 22:00:00,0.9910596,3.0476897,82.89295,5.5856624,344.6247
280,2012-04-17 23:00:00,0.9938195,2.9862864,85.19902,4.0196385,353.23688
281,2012-04-18 00:00:00,0.99842733,2.9248877,87.78206,4.045028,349.42285
282,2012-04-18 01:00:00,0.9831209,2.8689835,88.8713,3.915512,356.65295
283,2012-04-18 02:00:00,0.98646665,2.7989042,80.583984,4.6676087,335.9712
284,2012-04-18 03:00:00,0.92948335,2.7399507,68.37751,5.6813397,336.32422
285,2012-04-19 00:00:00,0.9144771,3.1000888,66.93766,6.335859,334.79184
286,2012-04-19 01:00:00,0.97211087,3.2498362,103.090416,5.604682,333.41843
287,2012-04-19 02:00:00,0.93919826,3.1994967,110.00029,5.474359,334.01498
288,2012-04-19 03:00:00,0.9396419,2.9971943,110.00017,6.0949244,333.9722
289,2012-04-19 04:00:00,0.9349268,2.7978406,110.00009,3.234218,359.21588
